id,ts,kind,value,ok
122,2024-01-15 10:15:14,purchase,661.18,0
123,2024-01-15 10:15:51,signup,740.37,1
124,2024-01-15 10:16:28,click,819.56,0
125,2024-01-15 10:17:05,view,898.75,1
126,2024-01-15 10:17:42,purchase,977.94,0
127,2024-01-15 10:18:19,signup,57.13,1
128,2024-01-15 10:18:56,click,136.32,0
129,2024-01-15 10:19:33,view,215.51,1
130,2024-01-15 10:20:10,purchase,294.7,0
131,2024-01-15 10:20:47,signup,373.89,1
132,2024-01-15 10:21:24,click,453.08,0
133,2024-01-15 10:22:01,view,532.27,1
134,2024-01-15 10:22:38,purchase,611.46,0
135,2024-01-15 10:23:15,signup,690.65,1
136,2024-01-15 10:23:52,click,769.84,0
137,2024-01-15 10:24:29,view,849.03,1
138,2024-01-15 10:25:06,purchase,928.22,0
139,2024-01-15 10:25:43,signup,7.41,1
140,2024-01-15 10:26:20,click,86.6,0
141,2024-01-15 10:26:57,view,165.79,1
142,2024-01-15 10:27:34,purchase,244.98,0
143,2024-01-15 10:28:11,signup,324.17,1
144,2024-01-15 10:28:48,click,403.36,0
145,2024-01-15 10:29:25,view,482.55,1
146,2024-01-15 10:30:02,purchase,561.74,0
147,2024-01-15 10:30:39,signup,640.93,1
148,2024-01-15 10:31:16,click,720.12,0
149,2024-01-15 10:31:53,view,799.31,1
150,2024-01-15 10:32:30,purchase,878.5,0
151,2024-01-15 10:33:07,signup,957.69,1
152,2024-01-15 10:33:44,click,36.88,0
153,2024-01-15 10:34:21,view,116.07,1
154,2024-01-15 10:34:58,purchase,195.26,0
155,2024-01-15 10:35:35,signup,274.45,1
156,2024-01-15 10:36:12,click,353.64,0
157,2024-01-15 10:36:49,view,432.83,1
158,2024-01-15 10:37:26,purchase,512.02,0
159,2024-01-15 10:38:03,signup,591.21,1
160,2024-01-15 10:38:40,click,670.4,0
161,2024-01-15 10:39:17,view,749.59,1
162,2024-01-15 10:39:54,purchase,828.78,0
163,2024-01-15 10:40:31,signup,907.97,1
164,2024-01-15 10:41:08,click,987.16,0
165,2024-01-15 10:41:45,view,66.35,1
166,2024-01-15 10:42:22,purchase,145.54,0
167,2024-01-15 10:42:59,signup,224.73,1
168,2024-01-15 10:43:36,click,303.92,0
169,2024-01-15 10:44:13,view,383.11,1
170,2024-01-15 10:44:50,purchase,462.3,0
171,2024-01-15 10:45:27,signup,541.49,1
172,2024-01-15 10:46:04,click,620.68,0
173,2024-01-15 10:46:41,view,699.87,1
174,2024-01-15 10:47:18,purchase,779.06,0
175,2024-01-15 10:47:55,signup,858.25,1
176,2024-01-15 10:48:32,click,937.44,0
177,2024-01-15 10:49:09,view,16.63,1
178,2024-01-15 10:49:46,purchase,95.82,0
179,2024-01-15 10:50:23,signup,175.01,1
180,2024-01-15 10:51:00,click,254.2,0
181,2024-01-15 10:51:37,view,333.39,1
182,2024-01-15 10:52:14,purchase,412.58,0
183,2024-01-15 10:52:51,signup,491.77,1
184,2024-01-15 10:53:28,click,570.96,0
185,2024-01-15 10:54:05,view,650.15,1
186,2024-01-15 10:54:42,purchase,729.34,0
187,2024-01-15 10:55:19,signup,808.53,1
188,2024-01-15 10:55:56,click,887.72,0
189,2024-01-15 10:56:33,view,966.91,1
190,2024-01-15 10:57:10,purchase,46.1,0
191,2024-01-15 10:57:47,signup,125.29,1
192,2024-01-15 10:58:24,click,204.48,0
193,2024-01-15 10:59:01,view,283.67,1
194,2024-01-15 10:59:38,purchase,362.86,0
195,2024-01-15 11:00:15,signup,442.05,1
196,2024-01-15 11:00:52,click,521.24,0
197,2024-01-15 11:01:29,view,600.43,1
198,2024-01-15 11:02:06,purchase,679.62,0
199,2024-01-15 11:02:43,signup,758.81,1
200,2024-01-15 11:03:20,click,838,0
201,2024-01-15 11:03:57,view,917.19,1
202,2024-01-15 11:04:34,purchase,996.38,0
203,2024-01-15 11:05:11,signup,75.57,1
204,2024-01-15 11:05:48,click,154.76,0
205,2024-01-15 11:06:25,view,233.95,1
206,2024-01-15 11:07:02,purchase,313.14,0
207,2024-01-15 11:07:39,signup,392.33,1
208,2024-01-15 11:08:16,click,471.52,0
209,2024-01-15 11:08:53,view,550.71,1
210,2024-01-15 11:09:30,purchase,629.9,0
211,2024-01-15 11:10:07,signup,709.09,1
212,2024-01-15 11:10:44,click,788.28,0
213,2024-01-15 11:11:21,view,867.47,1
214,2024-01-15 11:11:58,purchase,946.66,0
215,2024-01-15 11:12:35,signup,25.85,1
216,2024-01-15 11:13:12,click,105.04,0
217,2024-01-15 11:13:49,view,184.23,1
218,2024-01-15 11:14:26,purchase,263.42,0
219,2024-01-15 11:15:03,signup,342.61,1
220,2024-01-15 11:15:40,click,421.8,0
221,2024-01-15 11:16:17,view,500.99,1
222,2024-01-15 11:16:54,purchase,580.18,0
223,2024-01-15 11:17:31,signup,659.37,1
224,2024-01-15 11:18:08,click,738.56,0
225,2024-01-15 11:18:45,view,817.75,1
226,2024-01-15 11:19:22,purchase,896.94,0
227,2024-01-15 11:19:59,signup,976.13,1
228,2024-01-15 11:20:36,click,55.32,0
229,2024-01-15 11:21:13,view,134.51,1
230,2024-01-15 11:21:50,purchase,213.7,0
231,2024-01-15 11:22:27,signup,292.89,1
232,2024-01-15 11:23:04,click,372.08,0
233,2024-01-15 11:23:41,view,451.27,1
234,2024-01-15 11:24:18,purchase,530.46,0
235,2024-01-15 11:24:55,signup,609.65,1
236,2024-01-15 11:25:32,click,688.84,0
237,2024-01-15 11:26:09,view,768.03,1
238,2024-01-15 11:26:46,purchase,847.22,0
239,2024-01-15 11:27:23,signup,926.41,1
240,2024-01-15 11:28:00,click,5.6,0
241,2024-01-15 11:28:37,view,84.79,1
242,2024-01-15 11:29:14,purchase,163.98,0
243,2024-01-15 11:29:51,signup,243.17,1
244,2024-01-15 11:30:28,click,322.36,0
245,2024-01-15 11:31:05,view,401.55,1
246,2024-01-15 11:31:42,purchase,480.74,0
247,2024-01-15 11:32:19,signup,559.93,1
248,2024-01-15 11:32:56,click,639.12,0
249,2024-01-15 11:33:33,view,718.31,1
250,2024-01-15 11:34:10,purchase,797.5,0
251,2024-01-15 11:34:47,signup,876.69,1
252,2024-01-15 11:35:24,click,955.88,0
253,2024-01-15 11:36:01,view,35.07,1
254,2024-01-15 11:36:38,purchase,114.26,0
255,2024-01-15 11:37:15,signup,193.45,1
256,2024-01-15 11:37:52,click,272.64,0
257,2024-01-15 11:38:29,view,351.83,1
258,2024-01-15 11:39:06,purchase,431.02,0
259,2024-01-15 11:39:43,signup,510.21,1
260,2024-01-15 11:40:20,click,589.4,0
261,2024-01-15 11:40:57,view,668.59,1
262,2024-01-15 11:41:34,purchase,747.78,0
263,2024-01-15 11:42:11,signup,826.97,1
264,2024-01-15 11:42:48,click,906.16,0
265,2024-01-15 11:43:25,view,985.35,1
266,2024-01-15 11:44:02,purchase,64.54,0
267,2024-01-15 11:44:39,signup,143.73,1
268,2024-01-15 11:45:16,click,222.92,0
269,2024-01-15 11:45:53,view,302.11,1
270,2024-01-15 11:46:30,purchase,381.3,0
271,2024-01-15 11:47:07,signup,460.49,1
272,2024-01-15 11:47:44,click,539.68,0
273,2024-01-15 11:48:21,view,618.87,1
274,2024-01-15 11:48:58,purchase,698.06,0
275,2024-01-15 11:49:35,signup,777.25,1
276,2024-01-15 11:50:12,click,856.44,0
277,2024-01-15 11:50:49,view,935.63,1
278,2024-01-15 11:51:26,purchase,14.82,0
279,2024-01-15 11:52:03,signup,94.01,1
280,2024-01-15 11:52:40,click,173.2,0
281,2024-01-15 11:53:17,view,252.39,1
282,2024-01-15 11:53:54,purchase,331.58,0
283,2024-01-15 11:54:31,signup,410.77,1
284,2024-01-15 11:55:08,click,489.96,0
285,2024-01-15 11:55:45,view,569.15,1
286,2024-01-15 11:56:22,purchase,648.34,0
287,2024-01-15 11:56:59,signup,727.53,1
288,2024-01-15 11:57:36,click,806.72,0
289,2024-01-15 11:58:13,view,885.91,1
290,2024-01-15 11:58:50,purchase,965.1,0
291,2024-01-15 11:59:27,signup,44.29,1
292,2024-01-15 12:00:04,click,123.48,0
293,2024-01-15 12:00:41,view,202.67,1
294,2024-01-15 12:01:18,purchase,281.86,0
295,2024-01-15 12:01:55,signup,361.05,1
296,2024-01-15 12:02:32,click,440.24,0
297,2024-01-15 12:03:09,view,519.43,1
298,2024-01-15 12:03:46,purchase,598.62,0
299,2024-01-15 12:04:23,signup,677.81,1
300,2024-01-15 12:05:00,click,757,0
301,2024-01-15 12:05:37,view,836.19,1
302,2024-01-15 12:06:14,purchase,915.38,0
303,2024-01-15 12:06:51,signup,994.57,1
304,2024-01-15 12:07:28,click,73.76,0
305,2024-01-15 12:08:05,view,152.95,1
306,2024-01-15 12:08:42,purchase,232.14,0
307,2024-01-15 12:09:19,signup,311.33,1
308,2024-01-15 12:09:56,click,390.52,0
309,2024-01-15 12:10:33,view,469.71,1
310,2024-01-15 12:11:10,purchase,548.9,0
311,2024-01-15 12:11:47,signup,628.09,1
312,2024-01-15 12:12:24,click,707.28,0
313,2024-01-15 12:13:01,view,786.47,1
314,2024-01-15 12:13:38,purchase,865.66,0
315,2024-01-15 12:14:15,signup,944.85,1
316,2024-01-15 12:14:52,click,24.04,0
317,2024-01-15 12:15:29,view,103.23,1
318,2024-01-15 12:16:06,purchase,182.42,0
319,2024-01-15 12:16:43,signup,261.61,1
320,2024-01-15 12:17:20,click,340.8,0
321,2024-01-15 12:17:57,view,419.99,1
322,2024-01-15 12:18:34,purchase,499.18,0
323,2024-01-15 12:19:11,signup,578.37,1
324,2024-01-15 12:19:48,click,657.56,0
325,2024-01-15 12:20:25,view,736.75,1
326,2024-01-15 12:21:02,purchase,815.94,0
327,2024-01-15 12:21:39,signup,895.13,1
328,2024-01-15 12:22:16,click,974.32,0
329,2024-01-15 12:22:53,view,53.51,1
330,2024-01-15 12:23:30,purchase,132.7,0
331,2024-01-15 12:24:07,signup,211.89,1
332,2024-01-15 12:24:44,click,291.08,0
333,2024-01-15 12:25:21,view,370.27,1
334,2024-01-15 12:25:58,purchase,449.46,0
335,2024-01-15 12:26:35,signup,528.65,1
336,2024-01-15 12:27:12,click,607.84,0
337,2024-01-15 12:27:49,view,687.03,1
338,2024-01-15 12:28:26,purchase,766.22,0
339,2024-01-15 12:29:03,signup,845.41,1
340,2024-01-15 12:29:40,click,924.6,0
341,2024-01-15 12:30:17,view,3.79,1
342,2024-01-15 12:30:54,purchase,82.98,0
343,2024-01-15 12:31:31,signup,162.17,1
344,2024-01-15 12:32:08,click,241.36,0
345,2024-01-15 12:32:45,view,320.55,1
346,2024-01-15 12:33:22,purchase,399.74,0
347,2024-01-15 12:33:59,signup,478.93,1
348,2024-01-15 12:34:36,click,558.12,0
349,2024-01-15 12:35:13,view,637.31,1
350,2024-01-15 12:35:50,purchase,716.5,0
351,2024-01-15 12:36:27,signup,795.69,1
352,2024-01-15 12:37:04,click,874.88,0
353,2024-01-15 12:37:41,view,954.07,1
354,2024-01-15 12:38:18,purchase,33.26,0
355,2024-01-15 12:38:55,signup,112.45,1
356,2024-01-15 12:39:32,click,191.64,0
357,2024-01-15 12:40:09,view,270.83,1
358,2024-01-15 12:40:46,purchase,350.02,0
359,2024-01-15 12:41:23,signup,429.21,1
360,2024-01-15 12:42:00,click,508.4,0
361,2024-01-15 12:42:37,view,587.59,1
362,2024-01-15 12:43:14,purchase,666.78,0
363,2024-01-15 12:43:51,signup,745.97,1
364,2024-01-15 12:44:28,click,825.16,0
365,2024-01-15 12:45:05,view,904.35,1
366,2024-01-15 12:45:42,purchase,983.54,0
367,2024-01-15 12:46:19,signup,62.73,1
368,2024-01-15 12:46:56,click,141.92,0
369,2024-01-15 12:47:33,view,221.11,1
370,2024-01-15 12:48:10,purchase,300.3,0
371,2024-01-15 12:48:47,signup,379.49,1
372,2024-01-15 12:49:24,click,458.68,0
373,2024-01-15 12:50:01,view,537.87,1
374,2024-01-15 12:50:38,purchase,617.06,0
375,2024-01-15 12:51:15,signup,696.25,1
376,2024-01-15 12:51:52,click,775.44,0
377,2024-01-15 12:52:29,view,854.63,1
378,2024-01-15 12:53:06,purchase,933.82,0
379,2024-01-15 12:53:43,signup,13.01,1
380,2024-01-15 12:54:20,click,92.2,0
381,2024-01-15 12:54:57,view,171.39,1
382,2024-01-15 12:55:34,purchase,250.58,0
383,2024-01-15 12:56:11,signup,329.77,1
384,2024-01-15 12:56:48,click,408.96,0
385,2024-01-15 12:57:25,view,488.15,1
386,2024-01-15 12:58:02,purchase,567.34,0
387,2024-01-15 12:58:39,signup,646.53,1
388,2024-01-15 12:59:16,click,725.72,0
389,2024-01-15 12:59:53,view,804.91,1
390,2024-01-15 13:00:30,purchase,884.1,0
391,2024-01-15 13:01:07,signup,963.29,1
392,2024-01-15 13:01:44,click,42.48,0
393,2024-01-15 13:02:21,view,121.67,1
394,2024-01-15 13:02:58,purchase,200.86,0
395,2024-01-15 13:03:35,signup,280.05,1
396,2024-01-15 13:04:12,click,359.24,0
397,2024-01-15 13:04:49,view,438.43,1
398,2024-01-15 13:05:26,purchase,517.62,0
399,2024-01-15 13:06:03,signup,596.81,1
400,2024-01-15 13:06:40,click,676,0
401,2024-01-15 13:07:17,view,755.19,1
402,2024-01-15 13:07:54,purchase,834.38,0
403,2024-01-15 13:08:31,signup,913.57,1
404,2024-01-15 13:09:08,click,992.76,0
405,2024-01-15 13:09:45,view,71.95,1
406,2024-01-15 13:10:22,purchase,151.14,0
407,2024-01-15 13:10:59,signup,230.33,1
408,2024-01-15 13:11:36,click,309.52,0
409,2024-01-15 13:12:13,view,388.71,1
410,2024-01-15 13:12:50,purchase,467.9,0
411,2024-01-15 13:13:27,signup,547.09,1
412,2024-01-15 13:14:04,click,626.28,0
413,2024-01-15 13:14:41,view,705.47,1
414,2024-01-15 13:15:18,purchase,784.66,0
415,2024-01-15 13:15:55,signup,863.85,1
416,2024-01-15 13:16:32,click,943.04,0
417,2024-01-15 13:17:09,view,22.23,1
418,2024-01-15 13:17:46,purchase,101.42,0
419,2024-01-15 13:18:23,signup,180.61,1
420,2024-01-15 13:19:00,click,259.8,0
421,2024-01-15 13:19:37,view,338.99,1
422,2024-01-15 13:20:14,purchase,418.18,0
423,2024-01-15 13:20:51,signup,497.37,1
424,2024-01-15 13:21:28,click,576.56,0
425,2024-01-15 13:22:05,view,655.75,1
426,2024-01-15 13:22:42,purchase,734.94,0
427,2024-01-15 13:23:19,signup,814.13,1
428,2024-01-15 13:23:56,click,893.32,0
429,2024-01-15 13:24:33,view,972.51,1
430,2024-01-15 13:25:10,purchase,51.7,0
431,2024-01-15 13:25:47,signup,130.89,1
432,2024-01-15 13:26:24,click,210.08,0
433,2024-01-15 13:27:01,view,289.27,1
434,2024-01-15 13:27:38,purchase,368.46,0
435,2024-01-15 13:28:15,signup,447.65,1
436,2024-01-15 13:28:52,click,526.84,0
437,2024-01-15 13:29:29,view,606.03,1
438,2024-01-15 13:30:06,purchase,685.22,0
439,2024-01-15 13:30:43,signup,764.41,1
440,2024-01-15 13:31:20,click,843.6,0
441,2024-01-15 13:31:57,view,922.79,1
442,2024-01-15 13:32:34,purchase,1.98,0
443,2024-01-15 13:33:11,signup,81.17,1
444,2024-01-15 13:33:48,click,160.36,0
445,2024-01-15 13:34:25,view,239.55,1
446,2024-01-15 13:35:02,purchase,318.74,0
447,2024-01-15 13:35:39,signup,397.93,1
448,2024-01-15 13:36:16,click,477.12,0
449,2024-01-15 13:36:53,view,556.31,1
450,2024-01-15 13:37:30,purchase,635.5,0
451,2024-01-15 13:38:07,signup,714.69,1
452,2024-01-15 13:38:44,click,793.88,0
453,2024-01-15 13:39:21,view,873.07,1
454,2024-01-15 13:39:58,purchase,952.26,0
455,2024-01-15 13:40:35,signup,31.45,1
456,2024-01-15 13:41:12,click,110.64,0
457,2024-01-15 13:41:49,view,189.83,1
458,2024-01-15 13:42:26,purchase,269.02,0
459,2024-01-15 13:43:03,signup,348.21,1
460,2024-01-15 13:43:40,click,427.4,0
461,2024-01-15 13:44:17,view,506.59,1
462,2024-01-15 13:44:54,purchase,585.78,0
463,2024-01-15 13:45:31,signup,664.97,1
464,2024-01-15 13:46:08,click,744.16,0
465,2024-01-15 13:46:45,view,823.35,1
466,2024-01-15 13:47:22,purchase,902.54,0
467,2024-01-15 13:47:59,signup,981.73,1
468,2024-01-15 13:48:36,click,60.92,0
469,2024-01-15 13:49:13,view,140.11,1
470,2024-01-15 13:49:50,purchase,219.3,0
471,2024-01-15 13:50:27,signup,298.49,1
472,2024-01-15 13:51:04,click,377.68,0
473,2024-01-15 13:51:41,view,456.87,1
474,2024-01-15 13:52:18,purchase,536.06,0
475,2024-01-15 13:52:55,signup,615.25,1
476,2024-01-15 13:53:32,click,694.44,0
477,2024-01-15 13:54:09,view,773.63,1
478,2024-01-15 13:54:46,purchase,852.82,0
479,2024-01-15 13:55:23,signup,932.01,1
480,2024-01-15 13:56:00,click,11.2,0
481,2024-01-15 13:56:37,view,90.39,1
482,2024-01-15 13:57:14,purchase,169.58,0
483,2024-01-15 13:57:51,signup,248.77,1
484,2024-01-15 13:58:28,click,327.96,0
485,2024-01-15 13:59:05,view,407.15,1
486,2024-01-15 13:59:42,purchase,486.34,0
487,2024-01-15 14:00:19,signup,565.53,1
488,2024-01-15 14:00:56,click,644.72,0
489,2024-01-15 14:01:33,view,723.91,1
490,2024-01-15 14:02:10,purchase,803.1,0
491,2024-01-15 14:02:47,signup,882.29,1
492,2024-01-15 14:03:24,click,961.48,0
493,2024-01-15 14:04:01,view,40.67,1
494,2024-01-15 14:04:38,purchase,119.86,0
495,2024-01-15 14:05:15,signup,199.05,1
496,2024-01-15 14:05:52,click,278.24,0
497,2024-01-15 14:06:29,view,357.43,1
498,2024-01-15 14:07:06,purchase,436.62,0
499,2024-01-15 14:07:43,signup,515.81,1
500,2024-01-15 14:08:20,click,595,0
501,2024-01-15 14:08:57,view,674.19,1
502,2024-01-15 14:09:34,purchase,753.38,0
503,2024-01-15 14:10:11,signup,832.57,1
504,2024-01-15 14:10:48,click,911.76,0
505,2024-01-15 14:11:25,view,990.95,1
506,2024-01-15 14:12:02,purchase,70.14,0
507,2024-01-15 14:12:39,signup,149.33,1
508,2024-01-15 14:13:16,click,228.52,0
509,2024-01-15 14:13:53,view,307.71,1
510,2024-01-15 14:14:30,purchase,386.9,0
511,2024-01-15 14:15:07,signup,466.09,1
512,2024-01-15 14:15:44,click,545.28,0
513,2024-01-15 14:16:21,view,624.47,1
514,2024-01-15 14:16:58,purchase,703.66,0
515,2024-01-15 14:17:35,signup,782.85,1
516,2024-01-15 14:18:12,click,862.04,0
517,2024-01-15 14:18:49,view,941.23,1
518,2024-01-15 14:19:26,purchase,20.42,0
519,2024-01-15 14:20:03,signup,99.61,1
520,2024-01-15 14:20:40,click,178.8,0
521,2024-01-15 14:21:17,view,257.99,1
522,2024-01-15 14:21:54,purchase,337.18,0
523,2024-01-15 14:22:31,signup,416.37,1
524,2024-01-15 14:23:08,click,495.56,0
525,2024-01-15 14:23:45,view,574.75,1
526,2024-01-15 14:24:22,purchase,653.94,0
527,2024-01-15 14:24:59,signup,733.13,1
528,2024-01-15 14:25:36,click,812.32,0
529,2024-01-15 14:26:13,view,891.51,1
530,2024-01-15 14:26:50,purchase,970.7,0
531,2024-01-15 14:27:27,signup,49.89,1
532,2024-01-15 14:28:04,click,129.08,0
533,2024-01-15 14:28:41,view,208.27,1
534,2024-01-15 14:29:18,purchase,287.46,0
535,2024-01-15 14:29:55,signup,366.65,1
536,2024-01-15 14:30:32,click,445.84,0
537,2024-01-15 14:31:09,view,525.03,1
538,2024-01-15 14:31:46,purchase,604.22,0
539,2024-01-15 14:32:23,signup,683.41,1
540,2024-01-15 14:33:00,click,762.6,0
541,2024-01-15 14:33:37,view,841.79,1
542,2024-01-15 14:34:14,purchase,920.98,0
543,2024-01-15 14:34:51,signup,0.17,1
544,2024-01-15 14:35:28,click,79.36,0
545,2024-01-15 14:36:05,view,158.55,1
546,2024-01-15 14:36:42,purchase,237.74,0
547,2024-01-15 14:37:19,signup,316.93,1
548,2024-01-15 14:37:56,click,396.12,0
549,2024-01-15 14:38:33,view,475.31,1
550,2024-01-15 14:39:10,purchase,554.5,0
551,2024-01-15 14:39:47,signup,633.69,1
552,2024-01-15 14:40:24,click,712.88,0
553,2024-01-15 14:41:01,view,792.07,1
554,2024-01-15 14:41:38,purchase,871.26,0
555,2024-01-15 14:42:15,signup,950.45,1
556,2024-01-15 14:42:52,click,29.64,0
557,2024-01-15 14:43:29,view,108.83,1
558,2024-01-15 14:44:06,purchase,188.02,0
559,2024-01-15 14:44:43,signup,267.21,1
560,2024-01-15 14:45:20,click,346.4,0
561,2024-01-15 14:45:57,view,425.59,1
562,2024-01-15 14:46:34,purchase,504.78,0
563,2024-01-15 14:47:11,signup,583.97,1
564,2024-01-15 14:47:48,click,663.16,0
565,2024-01-15 14:48:25,view,742.35,1
566,2024-01-15 14:49:02,purchase,821.54,0
567,2024-01-15 14:49:39,signup,900.73,1
568,2024-01-15 14:50:16,click,979.92,0
569,2024-01-15 14:50:53,view,59.11,1
570,2024-01-15 14:51:30,purchase,138.3,0
571,2024-01-15 14:52:07,signup,217.49,1
572,2024-01-15 14:52:44,click,296.68,0
573,2024-01-15 14:53:21,view,375.87,1
574,2024-01-15 14:53:58,purchase,455.06,0
575,2024-01-15 14:54:35,signup,534.25,1
576,2024-01-15 14:55:12,click,613.44,0
577,2024-01-15 14:55:49,view,692.63,1
578,2024-01-15 14:56:26,purchase,771.82,0
579,2024-01-15 14:57:03,signup,851.01,1
580,2024-01-15 14:57:40,click,930.2,0
581,2024-01-15 14:58:17,view,9.39,1
582,2024-01-15 14:58:54,purchase,88.58,0
583,2024-01-15 14:59:31,signup,167.77,1
584,2024-01-15 15:00:08,click,246.96,0
585,2024-01-15 15:00:45,view,326.15,1
586,2024-01-15 15:01:22,purchase,405.34,0
587,2024-01-15 15:01:59,signup,484.53,1
588,2024-01-15 15:02:36,click,563.72,0
